sequence,quest_id,project,chapter,kind,title,workspace,files,prompt,verification
933,ADA-P5-10-03,Project 5 — Forge Map Editor,Place Objects and Triggers,Predict,Place Objects and Triggers — Predict,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/map_objects.ads; src/tools/object_tool.adb,Predict the exact behavior if the implementation encounters this problem: Forcing free-position objects into tile storage or mixing trigger execution into the editor model.,"Objects can be created, selected, saved, loaded, and rendered independently of tiles."
934,ADA-P5-10-04,Project 5 — Forge Map Editor,Place Objects and Triggers,Implement,Place Objects and Triggers — Implement,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/map_objects.ads; src/tools/object_tool.adb,"Implement the core milestone in the existing forge_map_editor crate: Place spawn points, pickups, enemies, exits, rectangles, points, and trigger regions on object layers.","Objects can be created, selected, saved, loaded, and rendered independently of tiles."
935,ADA-P5-10-05,Project 5 — Forge Map Editor,Place Objects and Triggers,Extend,Place Objects and Triggers — Extend,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/map_objects.ads; src/tools/object_tool.adb,Extend the completed milestone with this practical variation: Add named object types and custom properties.,"Objects can be created, selected, saved, loaded, and rendered independently of tiles."
936,ADA-P5-10-06,Project 5 — Forge Map Editor,Place Objects and Triggers,Test,Place Objects and Triggers — Test,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/map_objects.ads; src/tools/object_tool.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Place spawn points, pickups, enemies, exits, rectangles, points, and trigger regions on object layers.","Objects can be created, selected, saved, loaded, and rendered independently of tiles."
937,ADA-P5-10-07,Project 5 — Forge Map Editor,Place Objects and Triggers,Repair,Place Objects and Triggers — Repair,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/map_objects.ads; src/tools/object_tool.adb,Reproduce and repair this defect class in the current project: Forcing free-position objects into tile storage or mixing trigger execution into the editor model.,"Objects can be created, selected, saved, loaded, and rendered independently of tiles."
938,ADA-P5-10-08,Project 5 — Forge Map Editor,Place Objects and Triggers,Refactor,Place Objects and Triggers — Refactor,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/map_objects.ads; src/tools/object_tool.adb,"Refactor the chapter implementation so Object models, shapes, hit testing, and custom data is clearer without changing behavior.","Objects can be created, selected, saved, loaded, and rendered independently of tiles."
939,ADA-P5-10-09,Project 5 — Forge Map Editor,Place Objects and Triggers,Integrate,Place Objects and Triggers — Integrate,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/map_objects.ads; src/tools/object_tool.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Place spawn points, pickups, enemies, exits, rectangles, points, and trigger regions on object layers.","Objects can be created, selected, saved, loaded, and rendered independently of tiles."
940,ADA-P5-10-10,Project 5 — Forge Map Editor,Place Objects and Triggers,Review,Place Objects and Triggers — Review,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/map_objects.ads; src/tools/object_tool.adb,Perform a senior-style checkpoint review of Place Objects and Triggers in Forge Map Editor.,"Objects can be created, selected, saved, loaded, and rendered independently of tiles."
941,ADA-P5-11-01,Project 5 — Forge Map Editor,Select and Manipulate Content,Question,Select and Manipulate Content — Question,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/selection.ads; src/tools/selection_tool.adb,"Answer one focused question before editing code: How should Selection models, hit testing, drag/resize, and multi-selection be used to accomplish this milestone: Select tiles or objects, draw selection outlines, move objects, and delete selected content.",Selection remains valid after edits and manipulation is undoable.
942,ADA-P5-11-02,Project 5 — Forge Map Editor,Select and Manipulate Content,Code Reading,Select and Manipulate Content — Code Reading,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/selection.ads; src/tools/selection_tool.adb,"Read the current implementation around src/model/selection.ads, src/tools/selection_tool.adb. Trace how data enters, changes, and leaves the code for this milestone: Select tiles or objects, draw selection outlines, move objects, and delete selected content.",Selection remains valid after edits and manipulation is undoable.
943,ADA-P5-11-03,Project 5 — Forge Map Editor,Select and Manipulate Content,Predict,Select and Manipulate Content — Predict,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/selection.ads; src/tools/selection_tool.adb,Predict the exact behavior if the implementation encounters this problem: Selection referring to deleted objects or drag operations bypassing undo.,Selection remains valid after edits and manipulation is undoable.
944,ADA-P5-11-04,Project 5 — Forge Map Editor,Select and Manipulate Content,Implement,Select and Manipulate Content — Implement,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/selection.ads; src/tools/selection_tool.adb,"Implement the core milestone in the existing forge_map_editor crate: Select tiles or objects, draw selection outlines, move objects, and delete selected content.",Selection remains valid after edits and manipulation is undoable.
945,ADA-P5-11-05,Project 5 — Forge Map Editor,Select and Manipulate Content,Extend,Select and Manipulate Content — Extend,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/selection.ads; src/tools/selection_tool.adb,Extend the completed milestone with this practical variation: Add multi-selection and snap-to-grid toggling.,Selection remains valid after edits and manipulation is undoable.
946,ADA-P5-11-06,Project 5 — Forge Map Editor,Select and Manipulate Content,Test,Select and Manipulate Content — Test,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/selection.ads; src/tools/selection_tool.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Select tiles or objects, draw selection outlines, move objects, and delete selected content.",Selection remains valid after edits and manipulation is undoable.
947,ADA-P5-11-07,Project 5 — Forge Map Editor,Select and Manipulate Content,Repair,Select and Manipulate Content — Repair,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/selection.ads; src/tools/selection_tool.adb,Reproduce and repair this defect class in the current project: Selection referring to deleted objects or drag operations bypassing undo.,Selection remains valid after edits and manipulation is undoable.
948,ADA-P5-11-08,Project 5 — Forge Map Editor,Select and Manipulate Content,Refactor,Select and Manipulate Content — Refactor,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/selection.ads; src/tools/selection_tool.adb,"Refactor the chapter implementation so Selection models, hit testing, drag/resize, and multi-selection is clearer without changing behavior.",Selection remains valid after edits and manipulation is undoable.
949,ADA-P5-11-09,Project 5 — Forge Map Editor,Select and Manipulate Content,Integrate,Select and Manipulate Content — Integrate,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/selection.ads; src/tools/selection_tool.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Select tiles or objects, draw selection outlines, move objects, and delete selected content.",Selection remains valid after edits and manipulation is undoable.
950,ADA-P5-11-10,Project 5 — Forge Map Editor,Select and Manipulate Content,Review,Select and Manipulate Content — Review,~/Documents/src/projects/ada-mastery/forge_map_editor,src/model/selection.ads; src/tools/selection_tool.adb,Perform a senior-style checkpoint review of Select and Manipulate Content in Forge Map Editor.,Selection remains valid after edits and manipulation is undoable.
951,ADA-P5-12-01,Project 5 — Forge Map Editor,Build the Properties Inspector,Question,Build the Properties Inspector — Question,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/properties_panel.ads; src/ui/property_editors.adb,"Answer one focused question before editing code: How should Forms, widget binding, validation, and context-sensitive panels be used to accomplish this milestone: Display and edit properties for map, layer, tile selection, or object selection.",The inspector changes context correctly and validates before committing.
952,ADA-P5-12-02,Project 5 — Forge Map Editor,Build the Properties Inspector,Code Reading,Build the Properties Inspector — Code Reading,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/properties_panel.ads; src/ui/property_editors.adb,"Read the current implementation around src/ui/properties_panel.ads, src/ui/property_editors.adb. Trace how data enters, changes, and leaves the code for this milestone: Display and edit properties for map, layer, tile selection, or object selection.",The inspector changes context correctly and validates before committing.
953,ADA-P5-12-03,Project 5 — Forge Map Editor,Build the Properties Inspector,Predict,Build the Properties Inspector — Predict,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/properties_panel.ads; src/ui/property_editors.adb,Predict the exact behavior if the implementation encounters this problem: Updating the model on every invalid keystroke or creating callback feedback loops.,The inspector changes context correctly and validates before committing.
954,ADA-P5-12-04,Project 5 — Forge Map Editor,Build the Properties Inspector,Implement,Build the Properties Inspector — Implement,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/properties_panel.ads; src/ui/property_editors.adb,"Implement the core milestone in the existing forge_map_editor crate: Display and edit properties for map, layer, tile selection, or object selection.",The inspector changes context correctly and validates before committing.
955,ADA-P5-12-05,Project 5 — Forge Map Editor,Build the Properties Inspector,Extend,Build the Properties Inspector — Extend,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/properties_panel.ads; src/ui/property_editors.adb,Extend the completed milestone with this practical variation: Support multi-selection for shared properties where sensible.,The inspector changes context correctly and validates before committing.
956,ADA-P5-12-06,Project 5 — Forge Map Editor,Build the Properties Inspector,Test,Build the Properties Inspector — Test,~/Documents/src/projects/ada-mastery/forge_map_editor,src/ui/properties_panel.ads; src/ui/property_editors.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Display and edit properties for map, layer, tile selection, or object selection.",The inspector changes context correctly and validates before committing.
